"PERIODO","UNIDAD_CLIENTE","SEGMENTO","COD_PRODUCTO","COD_PRODUCTO_PROVEEDOR","DESCRIPCION","MARCA","ESTADO_PROD.","UMB","COD_LOCAL","TIPO","DESCRIPCION_LOCAL","ESTADO_LOCAL","FORMATO","TIPO_VENTA","VTA_PERIODO(u)","VTA_COSTO($)"
2020-12-01 al 2020-12-22,Construmart,CLUB AHORRO,168110,SIN CODIGO,PULSADOR 10A BLANCO/PERLA,SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,5.00,6775.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,14062,SIN CODIGO,INTERR.9/12 + ENCH/HBRA. 5001/13K MAG/AR,SIN MARCA,ACTIVO,C/U,CM29,LOCAL,CM29-PUERTO MONTT,ACTIVO,NO CLASIFICADO,NO CALZADA,19.00,65417.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,202485,SIN CODIGO,INTERRUPTOR DOBLE 9/15 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM61,LOCAL,CM61-TALCA,ACTIVO,NO CLASIFICADO,NO CALZADA,6.00,7563.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,45808,SIN CODIGO,MOD ENCH 10/16A MODUS BLCO,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,10.00,13860.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM86,LOCAL,CM86 - Linares,ACTIVO,NO CLASIFICADO,NO CALZADA,22.00,36058.00
2020-12-01 al 2020-12-22,Construmart,NUEVOS,45814,SIN CODIGO,TOMA 2P+T 10A 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM09,LOCAL,CM09 - OVALLE,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1112.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,168123,SIN CODIGO,PLACA 3 MÓDULOS PERLA,SIN MARCA,ACTIVO,C/U,CM05,LOCAL,CM05-ANTOFAGASTA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,611.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,186723,SIN CODIGO,INT.TERMOMAGNÉTICO UNIP. 25A - 6KA,SIN MARCA,ACTIVO,C/U,CM15,LOCAL,CM15-LAS CONDES,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,3123.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,12684,SIN CODIGO,INTERRUPTOR MAGIC 9/24 5003P MAG/MOD,SIN MARCA,ACTIVO,C/U,CM05,LOCAL,CM05-ANTOFAGASTA,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,4068.00
2020-12-01 al 2020-12-22,Construmart,LOCAL,153460,SIN CODIGO,TOMA 2P+T 10/16A 250V BLANCO,SIN MARCA,ACTIVO,C/U,CM28,LOCAL,CM28-OSORNO,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,4035.00
